kode,nama,tgl_catat,papan,sektor
AALI,Astra Agro Lestari Tbk.,9 Desember 1997,Utama,Consumer Non-Cyclicals
ABBA,Mahaka Media Tbk.,3 April 2002,Pemantauan Khusus,Consumer Cyclicals
ABDA,Asuransi Bina Dana Arta Tbk.,6 Juli 1989,Pemantauan Khusus,Financials
ABMM,ABM Investama Tbk.,6 Desember 2011,Utama,Energy
ACES,Aspirasi Hidup Indonesia Tbk.,6 November 2007,Utama,Consumer Cyclicals
ACRO,Samcro Hyosung Adilestari Tbk.,11 Januari 2024,Pengembangan,Consumer Cyclicals
ACST,Acset Indonusa Tbk.,24 Juni 2013,Pengembangan,Infrastructure
ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,Pengembangan,Properties & Real Estate
ADES,Akasha Wira International Tbk.,13 Juni 1994,Pengembangan,Consumer Non-Cyclicals
ADHI,Adhi Karya (Persero) Tbk.,18 Maret 2004,Utama,Infrastructure
ADMF,Adira Dinamika Multi Finance T,31 Maret 2004,Pengembangan,Financials
ADMG,Polychem Indonesia Tbk,20 Oktober 1993,Pengembangan,Basic Materials
ADMR,Alamtri Minerals Indonesia Tbk,3 Januari 2022,Utama,Energy
ADRO,Alamtri Resources Indonesia Tb,16 Juli 2008,Utama,Energy
AEGS,Anugerah Spareparts Sejahtera,11 September 2023,Akselerasi,Consumer Cyclicals
AGAR,Asia Sejahtera Mina Tbk.,2 Desember 2019,Pengembangan,Consumer Non-Cyclicals
AGII,Samator Indo Gas Tbk.,28 September 2016,Pengembangan,Basic Materials
AGRO,Bank Raya Indonesia Tbk.,8 Agustus 2003,Utama,Financials
AGRS,Bank IBK Indonesia Tbk.,22 Desember 2014,Pengembangan,Financials
AHAP,Asuransi Harta Aman Pratama Tbk.,14 September 1990,Pengembangan,Financials
AIMS,Artha Mahiya Investama Tbk.,20 Juli 2001,Pengembangan,Energy
AISA,FKS Food Sejahtera Tbk.,11 Juni 1997,Utama,Consumer Non-Cyclicals
AKKU,Anugerah Kagum Karya Utama Tbk,1 November 2004,Pemantauan Khusus,Consumer Cyclicals
AKPI,Argha Karya Prima Industry Tbk,18 Desember 1992,Pengembangan,Basic Materials
AKRA,AKR Corporindo Tbk.,3 Oktober 1994,Utama,Energy
AKSI,Mineral Sumberdaya Mandiri Tbk,13 Juli 2001,Pengembangan,Transportation & Logistics
ALDO,Alkindo Naratama Tbk.,12 Juli 2011,Pengembangan,Basic Materials
ALII,Ancara Logistics Indonesia Tbk,7 Februari 2024,Utama,Energy
ALKA,Alakasa Industrindo Tbk,12 Juli 1990,Pengembangan,Basic Materials
ALMI,Alumindo Light Metal Industry,2 Januari 1997,Pemantauan Khusus,Basic Materials
ALTO,Tri Banyan Tirta Tbk.,10 Juli 2012,Pemantauan Khusus,Consumer Non-Cyclicals
AMAG,Asuransi Multi Artha Guna Tbk.,23 Desember 2005,Pengembangan,Financials
AMAN,Makmur Berkah Amanda Tbk.,13 Maret 2020,Pengembangan,Properties & Real Estate
AMAR,Bank Amar Indonesia Tbk.,9 Januari 2020,Pengembangan,Financials
AMFG,Asahimas Flat Glass Tbk.,8 November 1995,Utama,Industrials
AMIN,Ateliers Mecaniques D Indonesi,10 Desember 2015,Pengembangan,Industrials
AMMN,Amman Mineral Internasional Tb,7 Juli 2023,Utama,Basic Materials
AMMS,Agung Menjangan Mas Tbk.,4 Agustus 2022,Akselerasi,Consumer Non-Cyclicals
AMOR,Ashmore Asset Management Indon,14 Januari 2020,Pengembangan,Financials
AMRT,Sumber Alfaria Trijaya Tbk.,15 Januari 2009,Utama,Consumer Non-Cyclicals
ANDI,Andira Agro Tbk.,16 Agustus 2018,Pemantauan Khusus,Consumer Non-Cyclicals
ANJT,Austindo Nusantara Jaya Tbk.,8 Mei 2013,Pengembangan,Consumer Non-Cyclicals
ANTM,Aneka Tambang Tbk.,27 November 1997,Utama,Basic Materials
APEX,Apexindo Pratama Duta Tbk.,5 Juni 2013,Pengembangan,Energy
APIC,Pacific Strategic Financial Tb,18 Desember 2002,Pengembangan,Financials
APII,Arita Prima Indonesia Tbk.,29 Oktober 2013,Pengembangan,Industrials
APLI,Asiaplast Industries Tbk.,1 Mei 2000,Pengembangan,Basic Materials
APLN,Agung Podomoro Land Tbk.,11 November 2010,Utama,Properties & Real Estate
ARCI,Archi Indonesia Tbk.,28 Juni 2021,Pengembangan,Basic Materials
AREA,Dunia Virtual Online Tbk.,1 April 2024,Pengembangan,Technology
ARGO,Argo Pantes Tbk,7 Januari 1991,Pengembangan,Consumer Cyclicals
ARII,Atlas Resources Tbk.,8 November 2011,Pengembangan,Energy
ARKA,Arkha Jayanti Persada Tbk.,10 Juli 2019,Pemantauan Khusus,Industrials
ARKO,Arkora Hydro Tbk.,8 Juli 2022,Pengembangan,Infrastructure
ARMY,Armidian Karyatama Tbk.,21 Juni 2017,Pemantauan Khusus,Properties & Real Estate
ARNA,Arwana Citramulia Tbk.,17 Juli 2001,Utama,Industrials
ARTA,Arthavest Tbk,5 November 2002,Pemantauan Khusus,Consumer Cyclicals
ARTI,Ratu Prabu Energi Tbk,30 April 2003,Pemantauan Khusus,Energy
ARTO,Bank Jago Tbk.,12 Januari 2016,Utama,Financials
ASBI,Asuransi Bintang Tbk.,29 November 1989,Pengembangan,Financials
ASDM,Asuransi Dayin Mitra Tbk.,15 Desember 1989,Pengembangan,Financials
ASGR,Astra Graphia Tbk.,15 November 1989,Utama,Industrials
ASHA,Cilacap Samudera Fishing Indus,27 Mei 2022,Pemantauan Khusus,Consumer Non-Cyclicals
ASII,Astra International Tbk.,4 April 1990,Utama,Industrials
ASJT,Asuransi Jasa Tania Tbk.,23 Desember 2003,Pengembangan,Financials
ASLC,Autopedia Sukses Lestari Tbk.,25 Januari 2022,Pengembangan,Consumer Cyclicals
ASLI,Asri Karya Lestari Tbk.,5 Januari 2024,Pengembangan,Infrastructure
ASMI,Asuransi Maximus Graha Persada,16 Januari 2014,Pemantauan Khusus,Financials
ASPI,Andalan Sakti Primaindo Tbk.,17 Februari 2020,Pengembangan,Properties & Real Estate
ASRI,Alam Sutera Realty Tbk.,18 Desember 2007,Utama,Properties & Real Estate
ASRM,Asuransi Ramayana Tbk.,19 Maret 1990,Pengembangan,Financials
ASSA,Adi Sarana Armada Tbk.,12 November 2012,Utama,Transportation & Logistics
ATAP,Trimitra Prawara Goldland Tbk.,11 Desember 2020,Pemantauan Khusus,Properties & Real Estate
ATIC,Anabatic Technologies Tbk.,8 Juli 2015,Pengembangan,Technology
ATLA,Atlantis Subsea Indonesia Tbk.,16 April 2024,Pengembangan,Energy
AUTO,Astra Otoparts Tbk.,15 Juni 1998,Utama,Consumer Cyclicals
AVIA,Avia Avian Tbk.,8 Desember 2021,Utama,Basic Materials
AWAN,Era Digital Media Tbk.,18 April 2023,Pengembangan,Technology
AXIO,Tera Data Indonusa Tbk.,20 Juli 2022,Utama,Technology
AYAM,Janu Putra Sejahtera Tbk.,30 November 2023,Pengembangan,Consumer Non-Cyclicals
AYLS,Arkayana Lestari Grup Tbk,12 Februari 2020,Pengembangan,Basic Materials
PTBA,Bukit Asam Tbk.,23 Desember 2002,Utama,Energy
BABP,Bank MNC Internasional Tbk.,15 Juli 2002,Pengembangan,Financials
BABY,Multitrend Indo Tbk.,7 September 2023,Pengembangan,Consumer Cyclicals
BACA,Bank Capital Indonesia Tbk.,4 Oktober 2007,Utama,Financials
BAIK,Bersama Mencapai Puncak Tbk.,15 Februari 2024,Pengembangan,Consumer Cyclicals
BAJA,Saranacentral Bajatama Tbk.,21 Desember 2011,Pengembangan,Basic Materials
BALI,Bali Towerindo Sentra Tbk.,13 Maret 2014,Utama,Infrastructure
BANK,Bank Aladin Syariah Tbk.,1 Februari 2021,Utama,Financials
BAPA,Bekasi Asri Pemula Tbk.,14 Januari 2008,Pengembangan,Properties & Real Estate
BAPI,Bhakti Agung Propertindo Tbk.,16 September 2019,Pemantauan Khusus,Properties & Real Estate
BATA,Sepatu Bata Tbk.,24 Maret 1982,Pengembangan,Consumer Cyclicals
BATR,Benteng Api Technic Tbk.,10 Juni 2024,Pengembangan,Basic Materials
BAUT,Mitra Angkasa Sejahtera Tbk.,28 Januari 2022,Pemantauan Khusus,Consumer Cyclicals
BAYU,Bayu Buana Tbk,30 Oktober 1989,Pengembangan,Consumer Cyclicals
BBCA,Bank Central Asia Tbk.,31 Mei 2000,Utama,Financials
BBHI,Allo Bank Indonesia Tbk.,12 Agustus 2015,Utama,Financials
BBKP,Bank KB Bukopin Tbk.,10 Juli 2006,Utama,Financials
BBLD,Buana Finance Tbk.,7 Mei 1990,Pengembangan,Financials
BBMD,Bank Mestika Dharma Tbk.,8 Juli 2013,Pengembangan,Financials
BBNI,Bank Negara Indonesia (Persero) Tbk.,25 November 1996,Utama,Financials
BBRI,Bank Rakyat Indonesia (Persero) Tbk.,10 November 2003,Utama,Financials
BBRM,Pelayaran Nasional Bina Buana,9 Januari 2013,Pengembangan,Energy
BBSI,Krom Bank Indonesia Tbk.,7 September 2020,Pengembangan,Financials
BBSS,Bumi Benowo Sukses Sejahtera T,15 April 2020,Pengembangan,Properties & Real Estate
BBTN,Bank Tabungan Negara (Persero),17 Desember 2009,Utama,Financials
BBYB,Bank Neo Commerce Tbk.,13 Januari 2015,Utama,Financials
BCAP,MNC Kapital Indonesia Tbk.,8 Juni 2001,Utama,Financials
BCIC,Bank JTrust Indonesia Tbk.,25 Juni 1997,Pengembangan,Financials
BCIP,Bumi Citra Permai Tbk.,11 Desember 2009,Pengembangan,Properties & Real Estate
BDKR,Berdikari Pondasi Perkasa Tbk.,3 Maret 2023,Utama,Infrastructure
BDMN,Bank Danamon Indonesia Tbk.,6 Desember 1989,Utama,Financials
BEBS,Berkah Beton Sadaya Tbk.,10 Maret 2021,Pemantauan Khusus,Basic Materials
BEEF,Estika Tata Tiara Tbk.,10 Januari 2019,Pengembangan,Consumer Non-Cyclicals
BEER,Jobubu Jarum Minahasa Tbk.,6 Januari 2023,Pengembangan,Consumer Non-Cyclicals
BEKS,Bank Pembangunan Daerah Banten,13 Juli 2001,Pemantauan Khusus,Financials
BELI,Global Digital Niaga Tbk.,8 November 2022,Ekonomi Baru,Technology
BELL,Trisula Textile Industries Tbk,3 Oktober 2017,Pengembangan,Consumer Cyclicals
BESS,Batulicin Nusantara Maritim Tb,9 Maret 2020,Pengembangan,Energy
BEST,Bekasi Fajar Industrial Estate,10 April 2012,Utama,Properties & Real Estate
BFIN,BFI Finance Indonesia Tbk.,16 Mei 1990,Utama,Financials
BGTG,Bank Ganesha Tbk.,12 Mei 2016,Pengembangan,Financials
BHAT,Bhakti Multi Artha Tbk.,15 April 2020,Pengembangan,Financials
BHIT,MNC Asia Holding Tbk.,24 November 1997,Pemantauan Khusus,Industrials
BIKA,Binakarya Jaya Abadi Tbk.,14 Juli 2015,Pemantauan Khusus,Properties & Real Estate
BIKE,Sepeda Bersama Indonesia Tbk.,21 Maret 2022,Pengembangan,Consumer Cyclicals
BIMA,Primarindo Asia Infrastructure,30 Agustus 1994,Pengembangan,Consumer Cyclicals
BINA,Bank Ina Perdana Tbk.,16 Januari 2014,Utama,Financials
BINO,Perma Plasindo Tbk.,25 November 2021,Pengembangan,Industrials
BIPI,Astrindo Nusantara Infrastrukt,11 Februari 2010,Pengembangan,Energy
BIPP,Bhuwanatala Indah Permai Tbk.,23 Oktober 1995,Pemantauan Khusus,Properties & Real Estate
BIRD,Blue Bird Tbk.,5 November 2014,Utama,Transportation & Logistics
BISI,BISI International Tbk.,28 Mei 2007,Utama,Consumer Non-Cyclicals
BJBR,Bank Pembangunan Daerah Jawa B,8 Juli 2010,Utama,Financials
BJTM,Bank Pembangunan Daerah Jawa T,12 Juli 2012,Utama,Financials
BKDP,Bukit Darmo Property Tbk.,15 Juni 2007,Pemantauan Khusus,Properties & Real Estate
BKSL,Sentul City Tbk.,28 Juli 1997,Pemantauan Khusus,Properties & Real Estate
BKSW,Bank QNB Indonesia Tbk.,21 November 2002,Pengembangan,Financials
BLES,Superior Prima Sukses Tbk.,8 Juli 2024,Utama,Basic Materials
BLTA,Berlian Laju Tanker Tbk,26 Maret 1990,Pemantauan Khusus,Transportation & Logistics
BLTZ,Graha Layar Prima Tbk.,10 April 2014,Pemantauan Khusus,Consumer Cyclicals
BLUE,Berkah Prima Perkasa Tbk.,8 Juli 2019,Pengembangan,Industrials
BMAS,Bank Maspion Indonesia Tbk.,11 Juli 2013,Pemantauan Khusus,Financials
BMBL,Lavender Bina Cendikia Tbk.,11 Januari 2023,Akselerasi,Consumer Cyclicals
BMHS,Bundamedik Tbk.,6 Juli 2021,Utama,Healthcare
BMRI,Bank Mandiri (Persero) Tbk.,14 Juli 2003,Utama,Financials
BMSR,Bintang Mitra Semestaraya Tbk,29 Desember 1999,Pengembangan,Basic Materials
BMTR,Global Mediacom Tbk.,17 Juli 1995,Utama,Consumer Cyclicals
BNBA,Bank Bumi Arta Tbk.,1 Juni 2006,Pengembangan,Financials
BNBR,Bakrie & Brothers Tbk,28 Agustus 1989,Pemantauan Khusus,Industrials
BNGA,Bank CIMB Niaga Tbk.,29 November 1989,Utama,Financials
BNII,Bank Maybank Indonesia Tbk.,21 November 1989,Utama,Financials
BNLI,Bank Permata Tbk.,15 Januari 1990,Pengembangan,Financials
BOAT,Newport Marine Services Tbk.,12 November 2024,Pengembangan,Energy
BOBA,Formosa Ingredient Factory Tbk,1 November 2021,Pengembangan,Consumer Non-Cyclicals
BOGA,Apollo Global Interactive Tbk,19 Desember 2016,Pengembangan,Consumer Cyclicals
BOLA,Bali Bintang Sejahtera Tbk.,17 Juni 2019,Utama,Consumer Cyclicals
BOLT,Garuda Metalindo Tbk.,7 Juli 2015,Pengembangan,Consumer Cyclicals
BOSS,Borneo Olah Sarana Sukses Tbk.,15 Februari 2018,Pemantauan Khusus,Energy
BPFI,Woori Finance Indonesia Tbk.,1 Juni 2009,Pengembangan,Financials
BPII,Batavia Prosperindo Internasio,8 Juli 2014,Pengembangan,Financials
BPTR,Batavia Prosperindo Trans Tbk.,9 Juli 2018,Pengembangan,Transportation & Logistics
BRPT,Barito Pacific Tbk.,1 Oktober 1993,Utama,Basic Materials
BRAM,Indo Kordsa Tbk.,5 September 1990,Pengembangan,Consumer Cyclicals
BREN,Barito Renewables Energy Tbk.,9 Oktober 2023,Utama,Infrastructure
BRIS,Bank Syariah Indonesia Tbk.,9 Mei 2018,Utama,Financials
BRMS,Bumi Resources Minerals Tbk.,9 Desember 2010,Utama,Basic Materials
BRNA,Berlina Tbk.,6 November 1989,Pemantauan Khusus,Basic Materials
BSBK,Wulandari Bangun Laksana Tbk.,8 November 2022,Utama,Properties & Real Estate
BSDE,Bumi Serpong Damai Tbk.,6 Juni 2008,Utama,Properties & Real Estate
BSIM,Bank Sinarmas Tbk.,13 Desember 2010,Utama,Financials
BSML,Bintang Samudera Mandiri Lines,16 Desember 2021,Pengembangan,Energy
BSSR,Baramulti Suksessarana Tbk.,8 November 2012,Pengembangan,Energy
BSWD,Bank Of India Indonesia Tbk.,1 Mei 2002,Pemantauan Khusus,Financials
BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,Pemantauan Khusus,Consumer Non-Cyclicals
BTEL,Bakrie Telecom Tbk.,3 Februari 2006,Pemantauan Khusus,Infrastructure
BTON,Betonjaya Manunggal Tbk.,18 Juli 2001,Pengembangan,Basic Materials
BTPN,Bank SMBC Indonesia Tbk.,12 Maret 2008,Utama,Financials
BTPS,Bank BTPN Syariah Tbk.,8 Mei 2018,Utama,Financials
BUAH,Segar Kumala Indonesia Tbk.,9 Agustus 2022,Pengembangan,Consumer Non-Cyclicals
BUDI,Budi Starch & Sweetener Tbk.,8 Mei 1995,Utama,Consumer Non-Cyclicals
BUKA,Bukalapak.com Tbk.,6 Agustus 2021,Ekonomi Baru,Technology
BUKK,Bukaka Teknik Utama Tbk.,29 Juni 2015,Pengembangan,Infrastructure
BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,Pengembangan,Energy
BUMI,Bumi Resources Tbk.,30 Juli 1990,Utama,Energy
BUVA,Bukit Uluwatu Villa Tbk.,12 Juli 2010,Pengembangan,Consumer Cyclicals
BVIC,Bank Victoria International Tb,30 Juni 1999,Utama,Financials
BWPT,Eagle High Plantations Tbk.,27 Oktober 2009,Utama,Consumer Non-Cyclicals
BYAN,Bayan Resources Tbk.,12 Agustus 2008,Utama,Energy
CAKK,Cahayaputra Asa Keramik Tbk.,31 Oktober 2018,Pengembangan,Industrials
CAMP,Campina Ice Cream Industry Tbk,19 Desember 2017,Pengembangan,Consumer Non-Cyclicals
CANI,Capitol Nusantara Indonesia Tb,16 Januari 2014,Pemantauan Khusus,Energy
CARE,Metro Healthcare Indonesia Tbk,13 Maret 2020,Pengembangan,Healthcare
CARS,Industri dan Perdagangan Bintr,10 April 2017,Utama,Consumer Cyclicals
CASA,Capital Financial Indonesia Tb,19 Juli 2016,Pengembangan,Financials
CASH,Cashlez Worldwide Indonesia Tb,4 Mei 2020,Akselerasi,Technology
CASS,Cardig Aero Services Tbk.,5 Desember 2011,Utama,Infrastructure
CBMF,Cahaya Bintang Medan Tbk.,9 April 2020,Pemantauan Khusus,Consumer Cyclicals
CBPE,Citra Buana Prasida Tbk.,6 Januari 2023,Pengembangan,Properties & Real Estate
CBRE,Cakra Buana Resources Energi T,9 Januari 2023,Pemantauan Khusus,Energy
CBUT,Citra Borneo Utama Tbk.,8 November 2022,Utama,Consumer Non-Cyclicals
CCSI,Communication Cable Systems In,18 Juni 2019,Pengembangan,Industrials
CEKA,Wilmar Cahaya Indonesia Tbk.,9 Juli 1996,Pengembangan,Consumer Non-Cyclicals
CENT,Centratama Telekomunikasi Indo,1 November 2001,Pemantauan Khusus,Infrastructure
CFIN,Clipan Finance Indonesia Tbk.,27 Agustus 1990,Utama,Financials
CGAS,Citra Nusantara Gemilang Tbk.,8 Januari 2024,Pengembangan,Energy
CHEM,Chemstar Indonesia Tbk.,8 Juli 2022,Pengembangan,Basic Materials
CHIP,Pelita Teknologi Global Tbk.,8 Februari 2023,Akselerasi,Technology
CINT,Chitose Internasional Tbk.,27 Juni 2014,Pengembangan,Consumer Cyclicals
CITA,Cita Mineral Investindo Tbk.,20 Maret 2002,Pengembangan,Basic Materials
CITY,Natura City Developments Tbk.,28 September 2018,Pengembangan,Properties & Real Estate
CLAY,Citra Putra Realty Tbk.,18 Januari 2019,Pemantauan Khusus,Consumer Cyclicals
CLEO,Sariguna Primatirta Tbk.,5 Mei 2017,Utama,Consumer Non-Cyclicals
CLPI,Colorpak Indonesia Tbk.,30 November 2001,Pengembangan,Basic Materials
CMNP,Citra Marga Nusaphala Persada,10 Januari 1995,Utama,Infrastructure
CMNT,Cemindo Gemilang Tbk.,8 September 2021,Utama,Basic Materials
CMPP,AirAsia Indonesia Tbk.,8 Desember 1994,Pemantauan Khusus,Transportation & Logistics
CMRY,Cisarua Mountain Dairy Tbk.,6 Desember 2021,Utama,Consumer Non-Cyclicals
CNKO,Exploitasi Energi Indonesia Tb,20 November 2001,Pemantauan Khusus,Energy
CNMA,Nusantara Sejahtera Raya Tbk.,2 Agustus 2023,Utama,Consumer Cyclicals
CNTX,Century Textile Industry Tbk.,22 Mei 1979,Pemantauan Khusus,Consumer Cyclicals
COAL,Black Diamond Resources Tbk.,7 September 2022,Pemantauan Khusus,Energy
COCO,Wahana Interfood Nusantara Tbk,20 Maret 2019,Pengembangan,Consumer Non-Cyclicals
COWL,Cowell Development Tbk.,19 Desember 2007,Pemantauan Khusus,Properties & Real Estate
CPIN,Charoen Pokphand Indonesia Tbk,18 Maret 1991,Utama,Consumer Non-Cyclicals
CPRI,Capri Nusa Satu Properti Tbk.,11 April 2019,Pemantauan Khusus,Properties & Real Estate
CPRO,Central Proteina Prima Tbk.,28 November 2006,Pengembangan,Consumer Non-Cyclicals
CRAB,Toba Surimi Industries Tbk.,10 Agustus 2022,Pengembangan,Consumer Non-Cyclicals
CRSN,Carsurin Tbk.,10 Juli 2023,Pengembangan,Industrials
CSAP,Catur Sentosa Adiprana Tbk.,12 Desember 2007,Pengembangan,Consumer Cyclicals
CSIS,Cahayasakti Investindo Sukses,10 Mei 2017,Pemantauan Khusus,Properties & Real Estate
CSMI,Cia Selera Murni Tbk.,9 April 2020,Pemantauan Khusus,Consumer Cyclicals
CSRA,Cisadane Sawit Raya Tbk.,9 Januari 2020,Pengembangan,Consumer Non-Cyclicals
CTBN,Citra Tubindo Tbk.,28 November 1989,Pemantauan Khusus,Basic Materials
CTRA,Ciputra Development Tbk.,28 Maret 1994,Utama,Properties & Real Estate
CTTH,Citatah Tbk.,3 Juli 1996,Pemantauan Khusus,Industrials
CUAN,Petrindo Jaya Kreasi Tbk.,8 Maret 2023,Utama,Energy
CYBR,ITSEC Asia Tbk.,8 Agustus 2023,Pengembangan,Technology
DAAZ,Daaz Bara Lestari Tbk.,11 November 2024,Utama,Basic Materials
DADA,Diamond Citra Propertindo Tbk.,14 Februari 2020,Pemantauan Khusus,Properties & Real Estate
DART,Duta Anggada Realty Tbk.,8 Mei 1990,Pengembangan,Properties & Real Estate
DATA,Remala Abadi Tbk.,7 Mei 2024,Pengembangan,Infrastructure
DAYA,Duta Intidaya Tbk.,28 Juni 2016,Pengembangan,Consumer Non-Cyclicals
DCII,DCI Indonesia Tbk.,6 Januari 2021,Pengembangan,Technology
DEAL,Dewata Freightinternational Tb,11 November 2018,Pemantauan Khusus,Transportation & Logistics
DEFI,Danasupra Erapacific Tbk.,6 Juli 2001,Pemantauan Khusus,Financials
DEPO,Caturkarda Depo Bangunan Tbk.,25 November 2021,Pengembangan,Consumer Cyclicals
DEWA,Darma Henwa Tbk,26 September 2007,Utama,Energy
DEWI,Dewi Shri Farmindo Tbk.,18 Juli 2022,Pengembangan,Consumer Non-Cyclicals
DFAM,Dafam Property Indonesia Tbk.,27 April 2018,Pengembangan,Consumer Cyclicals
DGIK,Nusa Konstruksi Enjiniring Tbk,19 Desember 2007,Pengembangan,Infrastructure
DGNS,Diagnos Laboratorium Utama Tbk,15 Januari 2021,Pengembangan,Healthcare
DIGI,Arkadia Digital Media Tbk.,18 September 2018,Pemantauan Khusus,Consumer Cyclicals
DILD,Intiland Development Tbk.,4 September 1991,Utama,Properties & Real Estate
DIVA,Distribusi Voucher Nusantara T,27 November 2018,Pengembangan,Technology
DKFT,Central Omega Resources Tbk.,21 November 1997,Pengembangan,Basic Materials
DLTA,Delta Djakarta Tbk.,27 Februari 1984,Utama,Consumer Non-Cyclicals
DMAS,Puradelta Lestari Tbk.,29 Mei 2015,Utama,Properties & Real Estate
DMMX,Digital Mediatama Maxima Tbk.,21 Oktober 2019,Pengembangan,Technology
DMND,Diamond Food Indonesia Tbk.,22 Januari 2020,Pemantauan Khusus,Consumer Non-Cyclicals
DNAR,Bank Oke Indonesia Tbk.,11 Juli 2014,Pengembangan,Financials
DNET,Indoritel Makmur Internasional,11 Desember 2000,Pengembangan,Financials
DOID,Delta Dunia Makmur Tbk.,15 Juni 2001,Utama,Energy
DOOH,Era Media Sejahtera Tbk.,8 Mei 2023,Pengembangan,Consumer Cyclicals
DOSS,Global Sukses Digital Tbk.,7 Agustus 2024,Pengembangan,Consumer Cyclicals
DPNS,Duta Pertiwi Nusantara Tbk.,8 Agustus 1990,Pengembangan,Basic Materials
DPUM,Dua Putra Utama Makmur Tbk.,8 Desember 2015,Pemantauan Khusus,Consumer Non-Cyclicals
DRMA,Dharma Polimetal Tbk.,20 Desember 2021,Utama,Consumer Cyclicals
DSFI,Dharma Samudera Fishing Indust,24 Maret 2000,Pengembangan,Consumer Non-Cyclicals
DSNG,Dharma Satya Nusantara Tbk.,14 Juni 2013,Utama,Consumer Non-Cyclicals
DSSA,Dian Swastatika Sentosa Tbk,10 Desember 2009,Utama,Energy
PTDU,Djasa Ubersakti Tbk.,8 Desember 2020,Pemantauan Khusus,Infrastructure
DUCK,Jaya Bersama Indo Tbk.,10 Oktober 2018,Pemantauan Khusus,Consumer Cyclicals
DUTI,Duta Pertiwi Tbk,2 November 1994,Pemantauan Khusus,Properties & Real Estate
DVLA,Darya-Varia Laboratoria Tbk.,11 November 1994,Pengembangan,Healthcare
DWGL,Dwi Guna Laksana Tbk.,13 Desember 2017,Pengembangan,Energy
DYAN,Dyandra Media International Tb,25 Maret 2013,Pengembangan,Industrials
EAST,Eastparc Hotel Tbk.,9 Juli 2019,Pengembangan,Consumer Cyclicals
ECII,Electronic City Indonesia Tbk.,3 Juli 2013,Pengembangan,Consumer Cyclicals
EDGE,Indointernet Tbk.,8 Februari 2021,Pengembangan,Technology
EKAD,Ekadharma International Tbk.,14 Agustus 1990,Pengembangan,Basic Materials
ELIT,Data Sinergitama Jaya Tbk.,6 Januari 2023,Pengembangan,Technology
ELPI,Pelayaran Nasional Ekalya Purn,8 Agustus 2022,Utama,Transportation & Logistics
ELSA,Elnusa Tbk.,6 Februari 2008,Utama,Energy
ELTY,Bakrieland Development Tbk.,30 Oktober 1995,Pemantauan Khusus,Properties & Real Estate
EMDE,Megapolitan Developments Tbk.,12 Januari 2011,Pengembangan,Properties & Real Estate
EMTK,Elang Mahkota Teknologi Tbk.,12 Januari 2010,Utama,Technology
ENAK,Champ Resto Indonesia Tbk.,8 Februari 2022,Pengembangan,Consumer Cyclicals
ENRG,Energi Mega Persada Tbk.,7 Juni 2004,Utama,Energy
ENVY,Envy Technologies Indonesia Tb,8 Juli 2019,Pemantauan Khusus,Technology
ENZO,Morenzo Abadi Perkasa Tbk.,14 September 2020,Pemantauan Khusus,Consumer Non-Cyclicals
EPAC,Megalestari Epack Sentosaraya,1 Juli 2020,Pemantauan Khusus,Basic Materials
EPMT,Enseval Putera Megatrading Tbk,1 Agustus 1994,Pengembangan,Consumer Non-Cyclicals
ERAA,Erajaya Swasembada Tbk.,14 Desember 2011,Utama,Consumer Cyclicals
ERAL,Sinar Eka Selaras Tbk.,8 Agustus 2023,Utama,Consumer Cyclicals
ERTX,Eratex Djaja Tbk.,21 Agustus 1990,Pengembangan,Consumer Cyclicals
ESIP,Sinergi Inti Plastindo Tbk.,14 November 2019,Pemantauan Khusus,Basic Materials
ESSA,ESSA Industries Indonesia Tbk.,1 Februari 2012,Utama,Basic Materials
ESTA,Esta Multi Usaha Tbk.,9 Maret 2020,Pengembangan,Consumer Cyclicals
ESTI,Ever Shine Tex Tbk.,13 Oktober 1992,Pemantauan Khusus,Consumer Cyclicals
ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,Pemantauan Khusus,Basic Materials
EURO,Estee Gold Feet Tbk.,8 Agustus 2022,Akselerasi,Consumer Non-Cyclicals
EXCL,XLSMART Telecom Sejahtera Tbk,29 September 2005,Utama,Infrastructure
FAPA,FAP Agri Tbk.,4 Januari 2021,Pengembangan,Consumer Non-Cyclicals
FAST,Fast Food Indonesia Tbk.,11 Mei 1993,Pengembangan,Consumer Cyclicals
FASW,Fajar Surya Wisesa Tbk.,19 Desember 1994,Pemantauan Khusus,Basic Materials
FILM,MD Entertainment Tbk.,7 Agustus 2018,Utama,Consumer Cyclicals
FIMP,Fimperkasa Utama Tbk.,9 April 2021,Pemantauan Khusus,Infrastructure
FIRE,Alfa Energi Investama Tbk.,9 Juni 2017,Pengembangan,Energy
FISH,FKS Multi Agro Tbk.,18 Januari 2002,Pemantauan Khusus,Consumer Non-Cyclicals
FITT,Hotel Fitra International Tbk.,11 Juni 2019,Pengembangan,Consumer Cyclicals
FLMC,Falmaco Nonwoven Industri Tbk.,8 Juli 2021,Akselerasi,Consumer Non-Cyclicals
FMII,Fortune Mate Indonesia Tbk,30 Juni 2000,Pengembangan,Properties & Real Estate
FOLK,Multi Garam Utama Tbk.,7 Agustus 2023,Pengembangan,Industrials
