kode,nama,tgl_catat,papan,sektor
PORT,Nusantara Pelabuhan Handal Tbk,16 Maret 2017,Pengembangan,Infrastructure
POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,Pemantauan Khusus,Properties & Real Estate
POWR,Cikarang Listrindo Tbk.,14 Juni 2016,Utama,Infrastructure
PTPP,PP (Persero) Tbk.,9 Februari 2010,Utama,Infrastructure
PPGL,Prima Globalindo Logistik Tbk.,20 Juli 2020,Akselerasi,Transportation & Logistics
PPRE,PP Presisi Tbk.,24 November 2017,Pengembangan,Infrastructure
PPRI,Paperocks Indonesia Tbk.,8 Agustus 2023,Pengembangan,Basic Materials
PPRO,PP Properti Tbk.,19 Mei 2015,Pemantauan Khusus,Properties & Real Estate
PRAS,Prima Alloy Steel Universal Tb,12 Juli 1990,Pemantauan Khusus,Consumer Cyclicals
PRAY,Famon Awal Bros Sedaya Tbk.,8 November 2022,Pengembangan,Healthcare
PRDA,Prodia Widyahusada Tbk.,7 Desember 2016,Utama,Healthcare
PRIM,Royal Prima Tbk.,15 Mei 2018,Pengembangan,Healthcare
PTPS,Pulau Subur Tbk.,9 Oktober 2023,Pengembangan,Consumer Non-Cyclicals
PSAB,J Resources Asia Pasifik Tbk.,22 April 2003,Pengembangan,Basic Materials
PSDN,Prasidha Aneka Niaga Tbk,18 Oktober 1994,Pengembangan,Consumer Non-Cyclicals
PSGO,Palma Serasih Tbk.,25 November 2019,Utama,Consumer Non-Cyclicals
PSKT,Red Planet Indonesia Tbk.,19 September 1995,Pemantauan Khusus,Consumer Cyclicals
PSSI,IMC Pelita Logistik Tbk.,5 Desember 2017,Utama,Energy
PUDP,Pudjiadi Prestige Tbk.,18 November 1994,Utama,Properties & Real Estate
PURA,Putra Rajawali Kencana Tbk.,29 Januari 2020,Pemantauan Khusus,Transportation & Logistics
PURE,Trinitan Metals and Minerals T,9 Oktober 2019,Pemantauan Khusus,Basic Materials
PURI,Puri Global Sukses Tbk.,8 September 2020,Pengembangan,Properties & Real Estate
PTPW,Pratama Widya Tbk.,7 Februari 2020,Pengembangan,Infrastructure
PWON,Pakuwon Jati Tbk.,9 Oktober 1989,Utama,Properties & Real Estate
PYFA,Pyridam Farma Tbk,16 Oktober 2001,Pengembangan,Healthcare
PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,Pengembangan,Consumer Cyclicals
RAAM,Tripar Multivision Plus Tbk.,8 Mei 2023,Utama,Consumer Cyclicals
RAFI,Sari Kreasi Boga Tbk.,5 Agustus 2022,Pemantauan Khusus,Consumer Cyclicals
RAJA,Rukun Raharja Tbk.,19 April 2006,Utama,Energy
RALS,Ramayana Lestari Sentosa Tbk.,24 Juli 1996,Utama,Consumer Cyclicals
RANC,Supra Boga Lestari Tbk.,7 Juni 2012,Pengembangan,Consumer Non-Cyclicals
RBMS,Ristia Bintang Mahkotasejati T,19 Desember 1997,Pemantauan Khusus,Properties & Real Estate
RCCC,Utama Radar Cahaya Tbk.,2 Agustus 2022,Akselerasi,Transportation & Logistics
RDTX,Roda Vivatex Tbk,14 Mei 1990,Pemantauan Khusus,Properties & Real Estate
REAL,Repower Asia Indonesia Tbk.,6 Desember 2019,Pemantauan Khusus,Properties & Real Estate
RELF,Graha Mitra Asia Tbk.,22 Juni 2023,Akselerasi,Properties & Real Estate
RELI,Reliance Sekuritas Indonesia T,13 Juli 2005,Pengembangan,Financials
RGAS,Kian Santang Muliatama Tbk.,8 November 2023,Pengembangan,Energy
RICY,Ricky Putra Globalindo Tbk,22 Januari 1998,Pengembangan,Consumer Cyclicals
RIGS,Rig Tenders Indonesia Tbk.,5 Maret 1990,Pengembangan,Energy
RIMO,Rimo International Lestari Tbk,10 November 2000,Pemantauan Khusus,Properties & Real Estate
RISE,Jaya Sukses Makmur Sentosa Tbk,9 Juli 2018,Pengembangan,Properties & Real Estate
RMKE,RMK Energy Tbk.,7 Desember 2021,Utama,Energy
RMKO,Royaltama Mulia Kontraktorindo,31 Juli 2023,Pengembangan,Energy
PTRO,Petrosea Tbk.,21 Mei 1990,Utama,Energy
ROCK,Rockfields Properti Indonesia,10 September 2020,Pemantauan Khusus,Properties & Real Estate
RODA,Pikko Land Development Tbk.,22 Oktober 2001,Pemantauan Khusus,Properties & Real Estate
RONY,Aesler Grup Internasional Tbk.,9 April 2020,Pemantauan Khusus,Infrastructure
ROTI,Nippon Indosari Corpindo Tbk.,28 Juni 2010,Pengembangan,Consumer Non-Cyclicals
RSCH,Charlie Hospital Semarang Tbk.,28 Agustus 2023,Pengembangan,Healthcare
RSGK,Kedoya Adyaraya Tbk.,8 September 2021,Utama,Healthcare
RUIS,Radiant Utama Interinsco Tbk.,12 Juli 2006,Pengembangan,Energy
RUNS,Global Sukses Solusi Tbk.,8 September 2021,Akselerasi,Technology
SAFE,Steady Safe Tbk,15 Agustus 1994,Pengembangan,Transportation & Logistics
SAGE,Saausaha Gemilangindah Tbk.,8 Maret 2023,Pemantauan Khusus,Properties & Real Estate
SAME,Sarana Meditama Metropolitan T,11 Januari 2013,Utama,Healthcare
SAMF,Saraswanti Anugerah Makmur Tbk,31 Maret 2020,Utama,Basic Materials
SAPX,Satria Antaran Prima Tbk.,3 Oktober 2018,Pengembangan,Transportation & Logistics
SATU,Kota Satu Properti Tbk.,5 November 2018,Pengembangan,Properties & Real Estate
SBAT,Sejahtera Bintang Abadi Textil,8 April 2020,Pemantauan Khusus,Consumer Cyclicals
SBMA,Surya Biru Murni Acetylene Tbk,8 September 2021,Pengembangan,Basic Materials
SCCO,Supreme Cable Manufacturing &,20 Juli 1982,Pengembangan,Industrials
SCMA,Surya Citra Media Tbk.,16 Juli 2002,Utama,Consumer Cyclicals
SCNP,Selaras Citra Nusantara Perkas,7 September 2020,Pengembangan,Consumer Cyclicals
SCPI,Organon Pharma Indonesia Tbk.,8 Juni 1990,Pengembangan,Healthcare
SDMU,Sidomulyo Selaras Tbk.,12 Juli 2011,Pemantauan Khusus,Transportation & Logistics
SDPC,Millennium Pharmacon Internati,7 Mei 1990,Pengembangan,Consumer Non-Cyclicals
SDRA,Bank Woori Saudara Indonesia 1,15 Desember 2006,Utama,Financials
SEMA,Semacom Integrated Tbk.,10 Januari 2022,Pengembangan,Energy
SFAN,Surya Fajar Capital Tbk.,19 Juni 2019,Pengembangan,Financials
SGER,Sumber Global Energy Tbk.,10 Agustus 2020,Pengembangan,Energy
SGRO,Prime Agro Resources Tbk,18 Juni 2007,Utama,Consumer Non-Cyclicals
SHID,Hotel Sahid Jaya International,8 Mei 1990,Pengembangan,Consumer Cyclicals
SHIP,Sillo Maritime Perdana Tbk.,16 Juni 2016,Utama,Energy
SICO,Sigma Energy Compressindo Tbk.,8 April 2022,Pengembangan,Energy
SIDO,Industri Jamu dan Farmasi Sido,18 Desember 2013,Utama,Healthcare
SILO,Siloam International Hospitals,12 September 2013,Utama,Healthcare
SIMA,Siwani Makmur Tbk,3 Juni 1994,Pemantauan Khusus,Basic Materials
SIMP,Salim Ivomas Pratama Tbk.,9 Juni 2011,Utama,Consumer Non-Cyclicals
SINI,Singaraja Putra Tbk.,8 November 2019,Pemantauan Khusus,Industrials
SIPD,Sreeya Sewu Indonesia Tbk.,27 Desember 1996,Pengembangan,Consumer Non-Cyclicals
SKBM,Sekar Bumi Tbk.,28 September 2012,Pengembangan,Consumer Non-Cyclicals
SKLT,Sekar Laut Tbk.,8 September 1993,Pengembangan,Consumer Non-Cyclicals
SKRN,Superkrane Mitra Utama Tbk.,11 Oktober 2018,Pengembangan,Industrials
SKYB,Northcliff Citranusa Indonesia,7 Juli 2010,Pemantauan Khusus,Technology
SLIS,Gaya Abadi Sempurna Tbk.,7 Oktober 2019,Pengembangan,Consumer Cyclicals
SMAR,Sinar Mas Agro Resources and Technology Tbk,20 November 1992,Pengembangan,Consumer Non-Cyclicals
SMBR,Semen Baturaja Tbk.,28 Juni 2013,Utama,Basic Materials
SMCB,Solusi Bangun Indonesia Tbk.,10 Agustus 1977,Pemantauan Khusus,Basic Materials
SMDM,Suryamas Dutamakmur Tbk.,12 Oktober 1995,Pengembangan,Properties & Real Estate
SMDR,Samudera Indonesia Tbk.,5 Juli 1999,Utama,Transportation & Logistics
SMGA,Sumber Mineral Global Abadi Tb,30 Januari 2024,Pengembangan,Basic Materials
SMGR,Semen Indonesia (Persero) Tbk.,8 Juli 1991,Utama,Basic Materials
SMIL,Sarana Mitra Luas Tbk.,12 Mei 2023,Utama,Industrials
SMKL,Satyamitra Kemas Lestari Tbk.,11 Juli 2019,Pengembangan,Basic Materials
SMKM,Sumber Mas Konstruksi Tbk.,9 Maret 2022,Akselerasi,Infrastructure
SMLE,Sinergi Multi Lestarindo Tbk.,10 Januari 2024,Pengembangan,Basic Materials
SMMA,Sinarmas Multiartha Tbk.,5 Juli 1995,Utama,Financials
SMMT,Golden Eagle Energy Tbk.,1 Desember 1997,Pemantauan Khusus,Energy
SMRA,Summarecon Agung Tbk.,7 Mei 1990,Utama,Properties & Real Estate
SMRU,SMR Utama Tbk.,10 Oktober 2011,Pemantauan Khusus,Energy
SMSM,Selamat Sempurna Tbk.,9 September 1996,Utama,Consumer Cyclicals
PTSN,Sat Nusapersada Tbk,8 November 2007,Pengembangan,Technology
SNLK,Sunter Lakeside Hotel Tbk.,29 Maret 2021,Pengembangan,Consumer Cyclicals
SPTO,Surya Pertiwi Tbk.,14 Mei 2018,Utama,Industrials
SOCI,Soechi Lines Tbk.,3 Desember 2014,Utama,Energy
SOFA,Solusi Environment Asia Tbk,7 Juli 2020,Akselerasi,Consumer Cyclicals
SOHO,Soho Global Health Tbk.,8 September 2020,Pengembangan,Healthcare
SOLA,Xolare RCR Energy Tbk.,8 Mei 2024,Pengembangan,Basic Materials
SONA,Sona Topas Tourism Industry Tb,21 Juli 1992,Pengembangan,Consumer Cyclicals
SOSS,Shield On Service Tbk.,6 November 2018,Pemantauan Khusus,Industrials
SOTS,Satria Mega Kencana Tbk.,10 Desember 2018,Pengembangan,Consumer Cyclicals
SOUL,Mitra Tirta Buwana Tbk.,6 Januari 2023,Akselerasi,Consumer Non-Cyclicals
PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,Pengembangan,Consumer Cyclicals
SPMA,Suparma Tbk.,16 November 1994,Pengembangan,Basic Materials
